epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2750.84,0.62906,1.55211,0.87548,0.5153,0.42758,0.44561,0.36683,0.7443,2.09926,0.90008,5.35766e-05,5.35766e-05,5.35766e-05
1,2716.83,0.64103,1.73621,0.88266,0.47837,0.33492,0.37068,0.30063,0.7752,2.40106,0.91293,5.36216e-05,5.36216e-05,5.36216e-05
1,3393.49,0.62906,1.55211,0.87548,0.5153,0.42758,0.44561,0.36683,0.7443,2.09926,0.90008,5.35766e-05,5.35766e-05,5.35766e-05
