epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.115,0.87253,4.87252,0.94612,0.54105,0.06313,0.0361,0.02935,0.84919,4.86093,0.92163,0.0668472,0.000166597,0.000166597
2,484.202,0.81587,3.65185,0.91767,0.69654,0.07291,0.06986,0.05701,0.8077,3.73712,0.91385,0.0336146,0.000267277,0.000267277
3,724.625,0.77419,2.92076,0.90224,0.54032,0.1269,0.10057,0.08205,0.81298,3.37997,0.91396,0.00031594,0.000301958,0.000301958
4,956.649,0.73992,2.52328,0.89706,0.44382,0.19991,0.13756,0.11395,0.79399,3.0991,0.92138,0.000203,0.000203,0.000203
5,1188,0.70866,2.27651,0.88831,0.46943,0.21992,0.16425,0.13535,0.7924,3.01778,0.91713,0.000104,0.000104,0.000104
