epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3541.9,0.90525,4.05324,0.97152,0.51391,0.13311,0.10327,0.08318,0.77317,3.34677,0.90598,5.35766e-05,5.35766e-05,5.35766e-05
1,2865.27,0.90525,4.05324,0.97152,0.51391,0.13311,0.10327,0.08318,0.77317,3.34677,0.90598,5.35766e-05,5.35766e-05,5.35766e-05
2,5581.9,0.77334,2.39341,0.92041,0.63207,0.23146,0.25546,0.20769,0.78896,2.75953,0.91293,8.60091e-05,8.60091e-05,8.60091e-05
3,8279.16,0.72863,1.92512,0.90623,0.70115,0.33063,0.39973,0.32557,0.75078,2.28223,0.9077,9.71896e-05,9.71896e-05,9.71896e-05
4,10976.3,0.6823,1.59691,0.89736,0.60064,0.42216,0.46282,0.38051,0.73143,2.01627,0.90271,6.5366e-05,6.5366e-05,6.5366e-05
5,13766.3,0.6589,1.43134,0.88876,0.6299,0.49067,0.51676,0.42231,0.72194,1.83527,0.89773,3.3488e-05,3.3488e-05,3.3488e-05
