epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2813.45,0.67573,1.80779,0.88967,0.63723,0.32951,0.37593,0.30851,0.74989,2.29857,0.89938,5.35766e-05,5.35766e-05,5.35766e-05
1,2477.33,0.68841,2.06101,0.89734,0.45835,0.31691,0.29294,0.24013,0.77188,2.66995,0.91586,5.36216e-05,5.36216e-05,5.36216e-05
1,3222.43,0.67573,1.80779,0.88967,0.63723,0.32951,0.37593,0.30851,0.74989,2.29857,0.89938,5.35766e-05,5.35766e-05,5.35766e-05
