epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,132.706,0.89092,4.02009,0.96461,0.48426,0.15189,0.10594,0.08465,0.78517,1.92746,0.90521,5.35766e-05,5.35766e-05,5.35766e-05
2,257.682,0.7712,2.3633,0.92212,0.42441,0.31751,0.27499,0.22448,0.76049,1.41915,0.91328,8.60091e-05,8.60091e-05,8.60091e-05
3,378.656,0.72021,1.87054,0.90313,0.66076,0.36346,0.41851,0.34485,0.74762,1.15261,0.89794,9.71896e-05,9.71896e-05,9.71896e-05
4,499.117,0.6802,1.54917,0.89612,0.51068,0.52035,0.50585,0.41006,0.73376,0.98498,0.90463,6.5366e-05,6.5366e-05,6.5366e-05
5,619.458,0.65392,1.39502,0.88658,0.59156,0.56943,0.56153,0.4584,0.71879,0.90306,0.89425,3.3488e-05,3.3488e-05,3.3488e-05
