epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,257.459,0.94203,2.59371,1.00603,0.3776,0.27657,0.18634,0.14567,0.8756,2.30334,0.99741,0.0668472,0.000166597,0.000166597
2,485.651,0.79198,1.41495,0.94923,0.46981,0.41692,0.38883,0.31066,0.82671,1.94733,0.98087,0.0336273,0.000279941,0.000279941
3,719.686,0.72141,1.00939,0.92482,0.64636,0.54631,0.58049,0.4573,0.82064,1.17179,0.9752,0.000353935,0.000339952,0.000339952
4,934.619,0.66728,0.78225,0.90596,0.70393,0.60689,0.6577,0.52285,0.75572,1.0626,0.95172,0.00026,0.00026,0.00026
5,1157.58,0.61932,0.64479,0.88412,0.73323,0.68198,0.72341,0.57326,0.75721,0.91119,0.94923,0.00018,0.00018,0.00018
