epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.299,0.90627,4.03138,0.97467,0.46019,0.15367,0.10334,0.08332,0.79925,2.09557,0.92548,5.36442e-05,5.36442e-05,5.36442e-05
2,470.881,0.79118,2.63662,0.93957,0.51425,0.21629,0.23292,0.18741,0.79012,1.65645,0.92632,8.60633e-05,8.60633e-05,8.60633e-05
3,715.287,0.75364,2.1218,0.92545,0.54954,0.30322,0.32371,0.25924,0.78234,1.43629,0.92103,9.72304e-05,9.72304e-05,9.72304e-05
4,935.989,0.72102,1.82307,0.91499,0.63135,0.38825,0.42196,0.34344,0.7616,1.22471,0.91922,6.5366e-05,6.5366e-05,6.5366e-05
5,1157.36,0.69323,1.6532,0.90562,0.57635,0.4296,0.45392,0.36993,0.74657,1.1792,0.91296,3.3488e-05,3.3488e-05,3.3488e-05
