epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3727.43,0.90525,4.05324,0.97152,0.51391,0.13311,0.10327,0.08318,0.77317,3.34677,0.90598,5.35766e-05,5.35766e-05,5.35766e-05
2,7309.95,0.77187,2.45541,0.92011,0.57349,0.23731,0.23201,0.18908,0.77696,2.88387,0.90878,5.41579e-05,5.41579e-05,5.41579e-05
1,3499.36,0.90525,4.05324,0.97152,0.51391,0.13311,0.10327,0.08318,0.77317,3.34677,0.90598,5.35766e-05,5.35766e-05,5.35766e-05
2,7001.9,0.77187,2.45541,0.92011,0.57349,0.23731,0.23201,0.18908,0.77696,2.88387,0.90878,5.41579e-05,5.41579e-05,5.41579e-05
1,3372.71,0.90525,4.05324,0.97152,0.51391,0.13311,0.10327,0.08318,0.77317,3.34677,0.90598,5.35766e-05,5.35766e-05,5.35766e-05
2,6194.95,0.77172,2.41726,0.9201,0.68259,0.21399,0.25291,0.20474,0.78353,2.80342,0.91096,7.1853e-05,7.1853e-05,7.1853e-05
3,8799.03,0.72365,2.00185,0.9046,0.65519,0.32081,0.36226,0.29686,0.73776,2.43856,0.90261,5.47094e-05,5.47094e-05,5.47094e-05
