epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,190.556,0.94594,2.70203,1.001,0.4137,0.18361,0.18313,0.14466,0.90155,1.90552,1.01273,0.0668472,0.000166597,0.000166597
2,366.654,0.81883,1.4424,0.95776,0.52783,0.42681,0.43332,0.34337,0.82532,1.33196,0.97057,0.0336273,0.000279941,0.000279941
3,539.725,0.75521,1.02345,0.92975,0.62079,0.52378,0.5635,0.44444,0.81466,1.15821,0.9586,0.000353935,0.000339952,0.000339952
4,700.65,0.70688,0.83496,0.91356,0.63437,0.65584,0.67883,0.52786,0.78972,1.01165,0.94806,0.00026,0.00026,0.00026
5,866.662,0.66545,0.70533,0.89334,0.7326,0.66467,0.72461,0.56422,0.79113,0.96296,0.94347,0.00018,0.00018,0.00018
